epoch,box_loss,cls_loss,l1_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image
1,4.03403,5.648,4.37219,13.9608,14.4278,0.8,0.00499987,0,0,0.000676982,0.000155839,0.000207953,2.90382
2,2.9916,5.21628,3.55629,11.9264,11.1247,0.797659,0.00499948,0.0531956,0.00370197,0.0399169,0.0133304,0.015989,0.952601
3,2.082,4.0849,2.46509,8.65918,8.52632,0.795318,0.00499883,0.320353,0.263256,0.215561,0.0844691,0.0975783,0.961545
4,1.80119,3.35687,2.11224,7.26878,7.27616,0.792977,0.00499792,0.345535,0.510347,0.396683,0.18831,0.209147,0.966993
5,1.68699,2.94902,1.91825,6.53919,6.61116,0.790635,0.00499675,0.353348,0.643291,0.489231,0.234823,0.260264,0.953538
6,1.62406,2.72553,1.82117,6.15064,6.24567,0.788294,0.00499531,0.39206,0.7098,0.56445,0.259251,0.289771,1.03268
7,1.56747,2.57334,1.7455,5.85999,5.983,0.785953,0.00499362,0.392082,0.751395,0.608439,0.304711,0.335084,1.14282
8,1.52816,2.44439,1.69054,5.63246,5.77398,0.783612,0.00499167,0.399577,0.775734,0.632096,0.319059,0.350362,1.01577
9,1.50774,2.35052,1.66803,5.4982,5.62664,0.781271,0.00498946,0.42286,0.784924,0.65388,0.330561,0.362893,0.991813
10,1.47584,2.27281,1.60268,5.3172,5.47155,0.77893,0.00498699,0.420366,0.818807,0.673748,0.332156,0.366315,1.0935
11,1.4629,2.21691,1.57509,5.21887,5.38014,0.776589,0.00498426,0.436488,0.825421,0.721472,0.373266,0.408086,0.977939
12,1.44842,2.16034,1.55344,5.1247,5.29086,0.774247,0.00498127,0.438435,0.825254,0.716191,0.374429,0.408605,0.955633
13,1.43301,2.13176,1.53452,5.06009,5.23195,0.771906,0.00497803,0.459115,0.844224,0.745167,0.403389,0.437567,1.00702
14,1.42004,2.09047,1.50766,4.97734,5.15453,0.769565,0.00497452,0.446137,0.847301,0.732446,0.373519,0.409412,1.07261
15,1.41719,2.05343,1.49679,4.92335,5.11266,0.767224,0.00497076,0.45757,0.855505,0.756927,0.404537,0.439776,1.07354
16,1.39965,2.01908,1.45909,4.83353,5.02191,0.764883,0.00496674,0.475918,0.856261,0.759078,0.403961,0.439473,1.07316
17,1.39857,2.01284,1.46969,4.83886,5.01673,0.762542,0.00496246,0.477763,0.860152,0.770261,0.40194,0.438772,1.02073
18,1.38269,1.96039,1.45353,4.752,4.93805,0.760201,0.00495793,0.482495,0.865201,0.783565,0.416301,0.453028,1.07432
19,1.38327,1.96464,1.43374,4.73574,4.92537,0.75786,0.00495314,0.487214,0.869676,0.784529,0.427626,0.463317,1.00181
20,1.3744,1.94313,1.42725,4.69911,4.88588,0.755518,0.0049481,0.476457,0.871616,0.784462,0.424007,0.460052,1.06527
21,1.37814,1.92515,1.4176,4.66796,4.88241,0.753177,0.0049428,0.493367,0.870643,0.78591,0.430465,0.466009,1.05422
22,1.36218,1.9046,1.40772,4.62621,4.82,0.750836,0.00493725,0.482735,0.881221,0.792643,0.426006,0.46267,1.07285
23,1.35837,1.89222,1.40296,4.60325,4.80322,0.748495,0.00493144,0.483536,0.894522,0.802395,0.429427,0.466724,1.1074
24,1.3563,1.87704,1.38695,4.56907,4.77086,0.746154,0.00492539,0.492233,0.895451,0.810471,0.443309,0.480025,1.07719
25,1.35182,1.86112,1.376,4.53871,4.73478,0.743813,0.00491907,0.491973,0.897848,0.807736,0.443664,0.480071,0.988864
26,1.34832,1.84857,1.37489,4.52041,4.71912,0.741472,0.00491251,0.493231,0.897658,0.815646,0.445224,0.482266,1.09425
27,1.33958,1.8394,1.36863,4.49536,4.69566,0.73913,0.0049057,0.504252,0.894202,0.819425,0.448848,0.485906,1.09686
28,1.32969,1.8299,1.36166,4.46536,4.67766,0.736789,0.00489863,0.498974,0.89798,0.821772,0.452263,0.489214,1.07853
29,1.336,1.818,1.35918,4.45692,4.66874,0.734448,0.00489132,0.495954,0.899125,0.823733,0.450589,0.487904,1.10098
30,1.32762,1.80707,1.34636,4.42485,4.63466,0.732107,0.00488376,0.503788,0.901784,0.825892,0.453035,0.490321,1.13369
31,1.3213,1.78892,1.33056,4.38452,4.59268,0.729766,0.00487595,0.501018,0.906849,0.830953,0.462223,0.499096,1.06455
32,1.32995,1.78731,1.3333,4.39751,4.59212,0.727425,0.00486789,0.503394,0.908798,0.83405,0.463512,0.500566,0.968898
33,1.32061,1.77635,1.32609,4.36751,4.56955,0.725084,0.00485959,0.505541,0.913901,0.837682,0.461806,0.499393,0.970201
34,1.32131,1.7733,1.33528,4.37672,4.56846,0.722742,0.00485104,0.502687,0.912958,0.838062,0.464162,0.501552,1.04463
35,1.31891,1.775,1.32276,4.35726,4.56975,0.720401,0.00484225,0.506031,0.912536,0.832232,0.461163,0.49827,1.57426
36,1.31575,1.77228,1.32418,4.35126,4.56743,0.71806,0.00483322,0.506304,0.915948,0.837328,0.464469,0.501755,1.34058
37,1.31007,1.7463,1.31732,4.31546,4.52031,0.715719,0.00482394,0.508029,0.918765,0.836477,0.463562,0.500853,1.22259
38,1.31133,1.74289,1.31206,4.30737,4.51292,0.713378,0.00481442,0.512374,0.918229,0.839911,0.466646,0.503972,0.968702
39,1.31346,1.74381,1.31733,4.31394,4.52388,0.711037,0.00480467,0.514376,0.919901,0.840787,0.468555,0.505778,0.987918
40,1.30843,1.74094,1.31552,4.30445,4.51192,0.708696,0.00479467,0.513682,0.921141,0.842128,0.472808,0.50974,1.07239
41,1.31197,1.74897,1.31551,4.31481,4.52473,0.706355,0.00478444,0.509835,0.921046,0.844579,0.471031,0.508385,1.08317
42,1.30308,1.7286,1.29873,4.26805,4.47872,0.704013,0.00477396,0.512411,0.923864,0.845817,0.471684,0.509097,1.08447
43,1.29269,1.71847,1.28778,4.23698,4.44468,0.701672,0.00476326,0.509615,0.924678,0.846737,0.473702,0.511006,1.07958
44,1.29947,1.72714,1.30031,4.26524,4.47035,0.699331,0.00475232,0.510438,0.923582,0.847327,0.474965,0.512201,1.09954
45,1.29191,1.71517,1.28288,4.22738,4.4339,0.69699,0.00474114,0.507741,0.92421,0.845029,0.473842,0.510961,1.05743
46,1.29382,1.71105,1.2792,4.21708,4.43648,0.694649,0.00472973,0.507546,0.925006,0.844386,0.475223,0.51214,1.09296
47,1.29134,1.69817,1.28057,4.20108,4.42532,0.692308,0.0047181,0.507768,0.92457,0.844274,0.475575,0.512445,1.08122
48,1.28834,1.68802,1.27075,4.18514,4.38504,0.689967,0.00470623,0.513027,0.923698,0.844919,0.47658,0.513414,1.0708
49,1.28878,1.68618,1.28335,4.19556,4.39643,0.687625,0.00469413,0.512605,0.92625,0.846872,0.478136,0.515009,1.08544
50,1.28677,1.68863,1.27977,4.19,4.39707,0.685284,0.00468181,0.511781,0.927205,0.84617,0.477053,0.513965,1.08308
51,1.28616,1.68346,1.27269,4.17711,4.38273,0.682943,0.00466926,0.51304,0.927818,0.847307,0.478089,0.51501,1.10884
52,1.29092,1.68351,1.26247,4.17416,4.37061,0.680602,0.00465649,0.514035,0.927472,0.848679,0.479445,0.516368,1.08347
53,1.28578,1.67176,1.26404,4.15759,4.35648,0.678261,0.0046435,0.513986,0.927646,0.849317,0.480772,0.517626,1.08937
54,1.28525,1.68155,1.26055,4.16194,4.36374,0.67592,0.00463028,0.515616,0.929097,0.850366,0.481801,0.518657,1.40052
55,1.2864,1.68303,1.27492,4.174,4.38951,0.673579,0.00461684,0.514781,0.92927,0.849927,0.480819,0.517729,1.03419
56,1.28376,1.65714,1.26128,4.13717,4.33491,0.671237,0.00460319,0.514323,0.929351,0.850712,0.481546,0.518463,1.09471
57,1.28229,1.67333,1.25973,4.14554,4.3564,0.668896,0.00458932,0.513262,0.929615,0.851734,0.482226,0.519177,0.954041
58,1.28115,1.66535,1.24816,4.12352,4.33685,0.666555,0.00457523,0.513565,0.930793,0.852276,0.482396,0.519384,1.03318
59,1.28137,1.66498,1.25703,4.1323,4.34395,0.664214,0.00456093,0.512931,0.931121,0.851889,0.481498,0.518537,1.06603
60,1.28607,1.66467,1.26234,4.14612,4.34415,0.661873,0.00454642,0.513125,0.93225,0.852121,0.4818,0.518832,1.09112
61,1.28211,1.65509,1.25575,4.12163,4.33109,0.659532,0.00453169,0.512563,0.933457,0.851845,0.482365,0.519313,0.979178
62,1.27388,1.63956,1.24936,4.09216,4.29822,0.657191,0.00451676,0.514298,0.934009,0.852808,0.482827,0.519825,0.993303
63,1.27533,1.64226,1.24353,4.09198,4.2923,0.654849,0.00450162,0.513075,0.932697,0.853448,0.483032,0.520073,1.01106
64,1.27282,1.63676,1.2403,4.08052,4.28011,0.652508,0.00448627,0.513085,0.933339,0.853905,0.483506,0.520546,1.0618
65,1.27334,1.63389,1.24331,4.08242,4.27714,0.650167,0.00447072,0.514203,0.933071,0.853195,0.483293,0.520283,1.07728
66,1.26897,1.64218,1.25027,4.08799,4.29649,0.647826,0.00445497,0.515233,0.933429,0.854142,0.485265,0.522153,1.08398
67,1.27609,1.63908,1.23966,4.08194,4.28754,0.645485,0.00443902,0.5149,0.935044,0.854618,0.485689,0.522582,1.02687
68,1.27085,1.63097,1.23363,4.06327,4.26553,0.643144,0.00442286,0.518112,0.934541,0.855295,0.486323,0.52322,1.08206
69,1.27486,1.63532,1.22717,4.06711,4.26266,0.640803,0.00440651,0.519964,0.935149,0.856247,0.486751,0.5237,1.07555
70,1.27244,1.62921,1.23446,4.06274,4.26568,0.638462,0.00438997,0.520162,0.935322,0.856355,0.486451,0.523441,1.07755
71,1.2649,1.6398,1.24567,4.07661,4.27932,0.63612,0.00437323,0.520232,0.935758,0.85656,0.487218,0.524152,1.08485
72,1.26686,1.62679,1.22103,4.04373,4.23745,0.633779,0.0043563,0.520481,0.935825,0.856297,0.486681,0.523642,1.07624
73,1.2705,1.60326,1.22694,4.02452,4.23122,0.631438,0.00433918,0.519955,0.935916,0.857503,0.486732,0.523809,1.08261
74,1.26759,1.61029,1.22081,4.02391,4.22551,0.629097,0.00432187,0.522194,0.937051,0.857929,0.487091,0.524175,1.08862
75,1.26243,1.60658,1.2266,4.02142,4.2202,0.626756,0.00430438,0.522271,0.937449,0.858315,0.486811,0.523962,1.08555
76,1.26732,1.62217,1.23195,4.04218,4.25322,0.624415,0.0042867,0.524193,0.937966,0.858745,0.487353,0.524492,1.0858
77,1.26774,1.61459,1.21888,4.02216,4.23134,0.622074,0.00426884,0.524251,0.937699,0.85993,0.488101,0.525284,1.09549
78,1.26392,1.60832,1.2051,3.99883,4.20529,0.619732,0.0042508,0.524143,0.939384,0.861737,0.489155,0.526413,1.10804
79,1.26791,1.60882,1.21454,4.01276,4.21797,0.617391,0.00423258,0.526203,0.939556,0.861968,0.489592,0.526829,1.07296
80,1.26523,1.60811,1.21315,4.01247,4.20473,0.61505,0.00421419,0.526529,0.939571,0.861531,0.490063,0.52721,1.06596
81,1.25677,1.59856,1.20804,3.98625,4.18538,0.612709,0.00419562,0.528871,0.939677,0.861612,0.490972,0.528036,1.08433
82,1.25846,1.59944,1.20589,3.98539,4.18659,0.610368,0.00417687,0.529762,0.940113,0.862749,0.491671,0.528779,1.09173
83,1.26373,1.59962,1.19985,3.98756,4.18052,0.608027,0.00415796,0.530671,0.940285,0.862825,0.49185,0.528948,1.09785
84,1.25383,1.59172,1.19742,3.96156,4.16802,0.605686,0.00413888,0.531546,0.940137,0.86245,0.491854,0.528913,1.04999
85,1.25907,1.59314,1.2024,3.97414,4.17703,0.603344,0.00411964,0.532117,0.940382,0.863092,0.492385,0.529456,1.06416
86,1.26729,1.59752,1.20754,3.99676,4.18622,0.601003,0.00410023,0.53277,0.939946,0.862605,0.492366,0.52939,1.06755
87,1.26195,1.5848,1.20781,3.97303,4.17618,0.598662,0.00408065,0.53206,0.939615,0.862212,0.492655,0.529611,1.09143
88,1.25596,1.58805,1.1858,3.94865,4.1497,0.596321,0.00406092,0.535219,0.940305,0.863182,0.493368,0.530349,1.06107
